id,domain,title,description,courses,duration0,difficulty,created_at,updated_at
1,Web Development,Learning Path 1,Description for learning path 1. This path includes various courses related to Web Development.,"1,2,3,4,5",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
2,Data Science,Learning Path 2,Description for learning path 2. This path includes various courses related to Data Science.,"1,2,3,4,5",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
3,Machine Learning,Learning Path 3,Description for learning path 3. This path includes various courses related to Machine Learning.,"2,3,5",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
4,Cybersecurity,Learning Path 4,Description for learning path 4. This path includes various courses related to Cybersecurity.,"2,4,5",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
5,Cloud Computing,Learning Path 5,Description for learning path 5. This path includes various courses related to Cloud Computing.,"1,2,3",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
6,Web Development,Learning Path 6,Description for learning path 6. This path includes various courses related to Web Development.,"1,4,5,7,8",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
7,Data Science,Learning Path 7,Description for learning path 7. This path includes various courses related to Data Science.,"1,2,3,4,5",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
8,Machine Learning,Learning Path 8,Description for learning path 8. This path includes various courses related to Machine Learning.,"2,3,5,8,10",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
9,Cybersecurity,Learning Path 9,Description for learning path 9. This path includes various courses related to Cybersecurity.,"3,4,5,6,9",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
10,Cloud Computing,Learning Path 10,Description for learning path 10. This path includes various courses related to Cloud Computing.,"1,2,3,7",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
11,Web Development,Learning Path 11,Description for learning path 11. This path includes various courses related to Web Development.,"1,2,4,5",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
12,Data Science,Learning Path 12,Description for learning path 12. This path includes various courses related to Data Science.,"1,3,5,8",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
13,Machine Learning,Learning Path 13,Description for learning path 13. This path includes various courses related to Machine Learning.,"1,4,6,8",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
14,Cybersecurity,Learning Path 14,Description for learning path 14. This path includes various courses related to Cybersecurity.,"1,3,4,5",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
15,Cloud Computing,Learning Path 15,Description for learning path 15. This path includes various courses related to Cloud Computing.,"1,2,3,4",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
16,Web Development,Learning Path 16,Description for learning path 16. This path includes various courses related to Web Development.,"2,5,6,8",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
17,Data Science,Learning Path 17,Description for learning path 17. This path includes various courses related to Data Science.,"1,2,4,7",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
18,Machine Learning,Learning Path 18,Description for learning path 18. This path includes various courses related to Machine Learning.,"1,2,3,8",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
19,Cybersecurity,Learning Path 19,Description for learning path 19. This path includes various courses related to Cybersecurity.,"2,4,6,8",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
20,Cloud Computing,Learning Path 20,Description for learning path 20. This path includes various courses related to Cloud Computing.,"2,3,5",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
21,Web Development,Learning Path 21,Description for learning path 21. This path includes various courses related to Web Development.,"1,3,4,5",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
22,Data Science,Learning Path 22,Description for learning path 22. This path includes various courses related to Data Science.,"1,2,5,6",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
23,Machine Learning,Learning Path 23,Description for learning path 23. This path includes various courses related to Machine Learning.,"2,3,6,7",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
24,Cybersecurity,Learning Path 24,Description for learning path 24. This path includes various courses related to Cybersecurity.,"1,2,4,5",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
25,Cloud Computing,Learning Path 25,Description for learning path 25. This path includes various courses related to Cloud Computing.,"2,3,5,6",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
26,Web Development,Learning Path 26,Description for learning path 26. This path includes various courses related to Web Development.,"1,2,4,5",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
27,Data Science,Learning Path 27,Description for learning path 27. This path includes various courses related to Data Science.,"2,3,5,7,11,14,50",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
28,Machine Learning,Learning Path 28,Description for learning path 28. This path includes various courses related to Machine Learning.,"1,3,4,6,9,12,35",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
29,Cybersecurity,Learning Path 29,Description for learning path 29. This path includes various courses related to Cybersecurity.,"1,2,5,7,10,12,80",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
30,Cloud Computing,Learning Path 30,Description for learning path 30. This path includes various courses related to Cloud Computing.,"2,4,5,6,10,14,60",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
31,Web Development,Learning Path 31,Description for learning path 31. This path includes various courses related to Web Development.,"2,3,4,5,8,10,20",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
32,Data Science,Learning Path 32,Description for learning path 32. This path includes various courses related to Data Science.,"1,2,3,7,9,11,55",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
33,Machine Learning,Learning Path 33,Description for learning path 33. This path includes various courses related to Machine Learning.,"2,3,6,8,10,14,70",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
34,Cybersecurity,Learning Path 34,Description for learning path 34. This path includes various courses related to Cybersecurity.,"2,4,5,6,9,12,40",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
35,Cloud Computing,Learning Path 35,Description for learning path 35. This path includes various courses related to Cloud Computing.,"1,3,5,7,9,13,90",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
36,Web Development,Learning Path 36,Description for learning path 36. This path includes various courses related to Web Development.,"1,2,4,5,8,12,65",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
37,Data Science,Learning Path 37,Description for learning path 37. This path includes various courses related to Data Science.,"1,3,5,6,10,14,50",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
38,Machine Learning,Learning Path 38,Description for learning path 38. This path includes various courses related to Machine Learning.,"1,3,5,7,11,16,85",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
39,Cybersecurity,Learning Path 39,Description for learning path 39. This path includes various courses related to Cybersecurity.,"2,4,6,8,10,12,30",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
40,Cloud Computing,Learning Path 40,Description for learning path 40. This path includes various courses related to Cloud Computing.,"1,2,3,5,9,14,70",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
41,Web Development,Learning Path 41,Description for learning path 41. This path includes various courses related to Web Development.,"2,3,4,5,8,10,40",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
42,Data Science,Learning Path 42,Description for learning path 42. This path includes various courses related to Data Science.,"1,2,4,7,9,12,85",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
43,Machine Learning,Learning Path 43,Description for learning path 43. This path includes various courses related to Machine Learning.,"2,3,5,6,10,14,75",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
44,Cybersecurity,Learning Path 44,Description for learning path 44. This path includes various courses related to Cybersecurity.,"1,2,4,5,8,10,50",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
45,Cloud Computing,Learning Path 45,Description for learning path 45. This path includes various courses related to Cloud Computing.,"2,3,6,7,9,11,65",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
46,Web Development,Learning Path 46,Description for learning path 46. This path includes various courses related to Web Development.,"2,4,5,6,10,12,30",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
47,Data Science,Learning Path 47,Description for learning path 47. This path includes various courses related to Data Science.,"1,2,3,8,10,15,90",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
48,Machine Learning,Learning Path 48,Description for learning path 48. This path includes various courses related to Machine Learning.,"2,4,5,7,10,12,75",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
49,Cybersecurity,Learning Path 49,Description for learning path 49. This path includes various courses related to Cybersecurity.,"1,3,5,6,9,11,40",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
50,Cloud Computing,Learning Path 50,Description for learning path 50. This path includes various courses related to Cloud Computing.,"2,3,4,5,10,14,60",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
